product_id;product_name_wp;category_name_wp;product_description_wp;product_idealfor_wp;product_price
ibd-6sq-8236;День рождения ребёнка. Совушка. ;День Рождения;Забавная открытка с изображением совы порадует ваших гостей и гостей вашего ребёнка.;День Рождения ребёнка, ;50
ibd-i-043;день Рождения Принцессы;День Рождения;Милая детская открытка идеальный вариант для торжества вашей маленькой принцессы.;День Рождения ребёнка, ;60
ibd-i-049;День Рождения Двойняшек;День Рождения;Позовите гостей на День Рождения ваших Двойняшек этой милой пригласительной открыткой.;День Рождения ребёнка, ;60
ic-1-2228;день рождения. 1 год!;День Рождения;Пригласите гостей на первый день рождения вашего ребёнка этой забавной яркой открыткой.;День Рождения ребёнка, ;50
ic-1-2568;Вечеринка-сюрприз;День Рождения;Стильная открытка поможет вам в приглашении ваших гостей на организованную сюрприз-вечеринку.;День Рождения;50
ic-d-aw1-39;Первый День Рождения девочки.;День Рождения;Милая пригласительная открытка выполненная в нежных тонах будет изящным дополнением к тематике вашего торжества. ;День Рождения ребёнка, ;75
ic-d-ja1-17;первый день рождения;День Рождения;Забавная открытка с изображением карапуза повеселит ваших гостей и не оставит их равнодушными. ;День Рождения ребёнка, ;75
note-6sq-3985;Блеск вечеринки;День Рождения;Стильная открытка украшенная блёстками и яркими цветами ни оставит равнодушным ни одного именинника. ;День Рождения;60
note-a2iy-4074;Ретро Вечеринка;День Рождения;Только лучшее для ваших VIP гостей! Стильная открытка - лучший способ заявить всем о вашем событии. ;День Рождения;50
note-id-4002;Коктельная вечеринка в честь Дня Рождения;День Рождения;Яркий и неповторимый вариант открытки для именинников, желающих пригласить гостей на коктельную вечеринку в честь Дня Рождения. ;День Рождения;50
note-id-4032;Пивная Вечеринка в честь Дня Рождения;День Рождения;Классическое изображение пивной кружки на вашей пригласительной открытке продолжит тематику вашего праздника и порадует ваших гостей.;День Рождения;50
note-id-4039;Идеальная вечеринка;День Рождения;Стильная открытка в честь Дня Рождения. Белый фон декорированный   голубыми, розовыми и серыми чернильными принтами придадут вашей открытке неповторимый вид. ;День Рождения;60
note-id-4045;Празднование в честь Дня Рождения.Голубая.;День Рождения;Милая пригласительная открытка исполненная в ненавязчивых тонах с изображением праздничного торта порадует глаз ваших гостей. Доступна в голубом и розовом тонах. ;День Рождения;60
note-id-4046;Празднование в честь Дня Рождения. Розовая.;День Рождения;Милая пригласительная открытка исполненная в ненавязчивых тонах с изображением праздничного торта порадует глаз ваших гостей. Доступна в голубом и розовом тонах. ;День Рождения;50
note-id-4048;Урра! День Рождения!;День Рождения;Милая девчачья открытка декорированная в теплых и ярких розовых тонах идеально подходит для приглашения гостей на празднование дня рождения ваших детей.;День Рождения;60
note-id-4062-30;Приглашение на юбилей. 30 лет;День Рождения;Оригинальная открытка выполненная в необычных тонах будет приятным приглашением для ваших гостей. ;День Рождения, Юбилей;60
note-id-4078;Приглашение в стиле грандж;День Рождения;стильная пригласительная открытка выполненная в серых тонах для фанатов неформальной культуры.;День Рождения;50
note-id-4916-40;40-летний юбилей;День Рождения;В меру строгий и в то же время праздничный декор открытки отлично подходит для приглашения гостей на празднование вечеринки в честь 40-летнего юбилея именинника. ;День Рождения, Юбилей;75
note-id-4917-40;Приглашение на юбилей с маркой.;День Рождения;Стильная пригласительная открытка выполненная в строгих тонах создаст нужный тон грядущему событию.;День Рождения, Юбилей;75
note-id-4919-50;Забавная открытка на 50летие;День Рождения;Поднимите настроение свои гостям ещё до знаменательного события, пригласив их с помощью этой открытки.;День Рождения, Юбилей;60
note-id-4922-40;Приглашение на юбилей в крафтовом стиле. 40 лет;День Рождения;Пригласите своих гостей на празднование вашего юбилея с помощью ретро открытки выполненной в крафтовых тонах. ;День Рождения, Юбилей;60
note-id-4922-50;Приглашение на юбилей в крафтовом стиле. 50 лет;День Рождения;Пригласите своих гостей на празднование вашего юбилея с помощью ретро открытки выполненной в крафтовых тонах. ;День Рождения, Юбилей;60
note-id-4925-40;Приглашение на юбилей в стиле ретро. ;День Рождения;Приглашение выполненное в ретро стиле никогда не выйдет из моды и порадует ваших гостей приятным сочетанием текстур и шрифтов. ;День Рождения, Юбилей;50
note-id-4927-40;Приглашение на юбилей;День Рождения;Стильная пригласительная открытка, выполненная в строгом стиле говорит за именинника сама.;День Рождения;50
pp-20359dc;Первый День Рождения девочки.;День Рождения;Милая открытка с изображением аппетитного капкейка заинтригует гостей вечеринки! ;День Рождения ребёнка, ;50
psp-isn1134;Первый День Рождения девочки. Милые капкейки.;День Рождения;Милая пригласительная открытка с изображением аппетитного капкейка идеально подойдёт для празднование дня рождения вашей принцессы.  ;День Рождения ребёнка, ;60
psp-isn854;Вечеринка- МегаСюрприз;День Рождения;Открытка украшенная невероятно красочным тортом как ничто лучше передаст торжественность и важность вашего мероприятия!;День Рождения;60
psp-iv1118;Нам исполнился годик!;День Рождения;Открытка для празднования первого года жизни вашего малыша исполненная в нежных тонах с изображением сладостей и игрушек. ;День Рождения ребёнка, ;50
psp-iv542;Первый День Рождения девочки.;День Рождения;Милая пригласительная открытка, выполненная в девчачьем стиле идеально подойдёт для проведения первого Дня Рождения вашей дочери!;День Рождения ребёнка, ;50
psp-iv983;Первый День Рождения мальчика.;День Рождения;Забавная открытка для празднования Первого Дня Рождения вашего сыночка не оставит равнодушной ни одного из гостей.;День Рождения ребёнка, ;50
ser-id-8005;Первый День Рождения. Монстрик.;День Рождения;Забавная открытка идеально продолжит тему вашей вечеринки в честь дня рождения вашего маленького монстра. ;День Рождения ребёнка, ;75
vg-008;Пивная вечеринка;День Рождения;Идеальная открытка для тех, кто желает пригласить друзей на тематическую пивную вечеринку. Декор открытки полностью соответствует тематике: просто и весело.;День Рождения;75
vg-170;Пивная вечеринка для друзей;День Рождения;Оригинальная открытка поддержит тематику выбранной вами пивной вечеринки и порадует ваших гостей неповторимым дизайном. ;День Рождения;50
vg-455;День рождения ребёнка;День Рождения;Забавная открытка с изображением мороженного идеально подойдёт для гостей вашего ребёнка! ;День Рождения ребёнка, ;75
vg-456;Приглашение для детского дня рождения;День Рождения;Милая открытка для детского праздника с изображением сладостей идеально дополнит тематику дня рождения.;День Рождения ребёнка, ;75
vg-524;Кокосовый пляж;День Рождения;Лучший выбор для желающих пригласить своих гостей на пикник в честь празднования Дня Рождения;День Рождения;50
vg-529;Мексиканская фиеста в честь Дня Рождения;День Рождения;Идеальная открытка для желающих пригласить гостей на День Рождения в стиле мексиканской фиесты. ;День Рождения;75
vg-530;Пальмы акварелью ;День Рождения;Отличный вариант для желающих пригласить своих друзей на уютный и незабываемый вечер на побережье.;День Рождения;75
vg-540;День рождения малыша;День Рождения;Милая открытка для приглашения гостей на торжество вашего малыша. ;День Рождения ребёнка, ;60
vg-563;День Рождения в стиле Казино;День Рождения;"Оригинально и просто декорированная открытка дополнит ваш замысел вечеринки в стиле ""казино"" и приятно порадует ваших гостей.";День Рождения;50
